country,field,year,estimated_investment,complete
United Kingdom,Gaming,2018,4,True
South Korea,Gaming,2023,3,True
Greece,General purpose,2023,330,True
Senegal,General purpose,2023,0,True
Egypt,General purpose,2020,1,True
Belgium,General purpose,2023,473,True
France,General purpose,2018,661,True
Argentina,General purpose,2020,3,True
Spain,General purpose,2016,65,True
Chile,General purpose,2025,1003,False
Malaysia,General purpose,2019,4,True
Slovakia,General purpose,2018,1,True
Romania,General purpose,2024,6,True
Philippines,General purpose,2022,24,True
Kenya,General purpose,2022,4,True
Vietnam,General purpose,2017,0,True
Indonesia,General purpose,2024,18,True
Luxembourg,General purpose,2015,0,True
New Zealand,General purpose,2017,1,True
Estonia,General purpose,2015,3,True
Israel,General purpose,2019,538,True
Israel,General purpose,2024,4448,True
Cyprus,General purpose,2021,25,True
Australia,Hardware,2023,189,True
Switzerland,Hardware,2017,329,True
France,Hardware,2015,31,True
Jordan,Hardware,2023,0,True
Lithuania,Hardware,2024,1,True
Czechia,Hardware,2020,19,True
Israel,Hardware,2024,887,True
Poland,Hardware,2018,3,True
Portugal,Hardware,2018,1,True
Denmark,Healthcare and Life Sciences,2023,48,True
Austria,Healthcare and Life Sciences,2018,3,True
Finland,Healthcare and Life Sciences,2024,2,True
Australia,Healthcare and Life Sciences,2015,0,True
Australia,Healthcare and Life Sciences,2017,4,True
Australia,Healthcare and Life Sciences,2023,30,True
Sweden,Healthcare and Life Sciences,2022,50,True
Canada,Healthcare and Life Sciences,2016,282,True
Singapore,Healthcare and Life Sciences,2015,9,True
Israel,Healthcare and Life Sciences,2023,121,True
Netherlands,Healthcare and Life Sciences,2023,24,True
Greece,Information Technology,2025,4,False
Ukraine,Information Technology,2019,5,True
New Zealand,Information Technology,2022,80,True
Germany,Information Technology,2016,367,True
Germany,Information Technology,2020,957,True
Germany,Information Technology,2022,1271,True
Armenia,Information Technology,2024,2,True
Netherlands,Information Technology,2015,128,True
Qatar,Information Technology,2025,0,False
Estonia,Information Technology,2019,5,True
Croatia,Information Technology,2021,0,True
South Africa,Lending and Investments,2017,22,True
Sweden,Lending and Investments,2017,1,True
Germany,Lending and Investments,2018,3,True
United States,Lending and Investments,2018,262,True
South Korea,Manufacturing,2021,23,True
Germany,Manufacturing,2020,189,True
France,Manufacturing,2015,9,True
Luxembourg,Manufacturing,2018,0,True
China (mainland),Manufacturing,2018,566,True
Croatia,Manufacturing,2020,1,True
Denmark,Manufacturing,2019,14,True
Finland,Manufacturing,2020,1,True
India,Media and Entertainment,2023,25,True
Denmark,Media and Entertainment,2017,31,True
Nigeria,Media and Entertainment,2017,0,True
Sweden,Media and Entertainment,2017,9,True
Sweden,Media and Entertainment,2019,2,True
Sri Lanka,Media and Entertainment,2017,2,True
Japan,Media and Entertainment,2023,289,True
Belgium,Media and Entertainment,2022,1,True
Ukraine,Media and Entertainment,2021,0,True
Luxembourg,Media and Entertainment,2020,2,True
Bulgaria,Media and Entertainment,2015,1,True
Bulgaria,Media and Entertainment,2024,1,True
Ireland,Media and Entertainment,2024,0,True
United States,Media and Entertainment,2024,5304,True
Taiwan,Media and Entertainment,2017,0,True
Cyprus,Media and Entertainment,2020,2,True
Nigeria,"Military, public safety and government",2024,3,True
France,"Military, public safety and government",2020,2,True
Germany,"Military, public safety and government",2018,154,True
China (mainland),"Military, public safety and government",2017,2,True
South Korea,"Mobile, platforms & Internet services",2015,7,True
South Korea,"Mobile, platforms & Internet services",2017,11,True
Spain,"Mobile, platforms & Internet services",2018,60,True
Luxembourg,"Mobile, platforms & Internet services",2023,1,True
New Zealand,"Mobile, platforms & Internet services",2023,1,True
South Africa,"Mobile, platforms & Internet services",2019,25,True
Poland,"Mobile, platforms & Internet services",2019,4,True
France,"Mobile, platforms & Internet services",2017,128,True
Israel,"Mobile, platforms & Internet services",2023,319,True
Romania,"Mobile, platforms & Internet services",2019,1,True
Sri Lanka,"Mobile, platforms & Internet services",2024,1,True
Japan,"Mobile, platforms & Internet services",2022,50,True
Vietnam,"Mobile, platforms & Internet services",2024,3,True
Mexico,"Mobile, platforms & Internet services",2015,0,True
Mexico,"Mobile, platforms & Internet services",2019,2,True
Sweden,NLP,2015,1,True
Germany,NLP,2025,7,False
Israel,NLP,2024,316,True
South Africa,NLP,2022,1,True
Poland,Navigation and mapping,2023,1,True
United Arab Emirates,Navigation and mapping,2019,0,True
Germany,Navigation and mapping,2015,8,True
United States,Navigation and mapping,2019,2001,True
Australia,Navigation and mapping,2018,4,True
Indonesia,Other,2022,4,True
Italy,Other,2021,0,True
United Kingdom,Other,2015,26,True
Mongolia,Other,2022,0,True
Finland,Other,2019,1,True
Slovenia,Other,2018,0,True
Hungary,Other,2020,1,True
Spain,Other,2021,101,True
United States,Other,2020,4409,True
Jordan,Other,2023,0,True
Singapore,Privacy and Security,2022,154,True
Israel,Privacy and Security,2015,91,True
Malaysia,Privacy and Security,2023,0,True
Austria,Privacy and Security,2019,0,True
Brazil,Privacy and Security,2017,1,True
Norway,Privacy and Security,2022,0,True
Vietnam,Privacy and Security,2019,1,True
New Zealand,Privacy and Security,2021,5,True
Spain,Privacy and Security,2022,0,True
Estonia,Privacy and Security,2019,1,True
Estonia,Privacy and Security,2020,7,True
Iceland,Professional services,2017,0,True
Turkey,Professional services,2023,4,True
Australia,Professional services,2022,31,True
Austria,Professional services,2024,31,True
Kenya,Professional services,2024,0,True
Germany,Professional services,2025,2746,False
Lebanon,Professional services,2015,0,True
Russia,Real estate,2024,1,True
China (mainland),Real estate,2020,52,True
Australia,Real estate,2017,6,True
Norway,Real estate,2021,35,True
United Arab Emirates,Real estate,2021,7,True
South Africa,Real estate,2019,124,True
Switzerland,Real estate,2020,1,True
France,Real estate,2016,9,True
Spain,Real estate,2019,12,True
Czechia,Real estate,2017,1,True
Denmark,Robotics,2016,1,True
Israel,Robotics,2022,51,True
Canada,Robotics,2020,16,True
Italy,Robotics,2019,1,True
Romania,Robotics,2021,0,True
Italy,"Sales, retail, commerce, marketing",2015,4,True
Switzerland,"Sales, retail, commerce, marketing",2018,170,True
Switzerland,"Sales, retail, commerce, marketing",2021,183,True
Bulgaria,"Sales, retail, commerce, marketing",2023,0,True
Israel,"Sales, retail, commerce, marketing",2018,71,True
Indonesia,"Sales, retail, commerce, marketing",2017,1,True
Azerbaijan,Simulation,2022,0,True
United States,Simulation,2022,17,True
Poland,Simulation,2023,0,True
Australia,Software,2021,2464,True
Australia,Software,2023,418,True
Saudi Arabia,Software,2025,1714,False
Norway,Software,2017,47,True
Norway,Software,2020,412,True
India,Software,2022,3243,True
Uganda,Software,2019,0,True
Thailand,Software,2016,0,True
Germany,Software,2018,1597,True
Slovenia,Software,2025,2,False
Mexico,Software,2020,41,True
Kenya,Software,2019,14,True
Algeria,Software,2022,0,True
Nigeria,Software,2016,50,True
Trinidad and Tobago,Software,2018,0,True
Malta,Software,2018,0,True
Bulgaria,Software,2024,9,True
Portugal,Software,2025,202,False
Taiwan,Software,2018,27,True
Czechia,Software,2018,4,True
Czechia,Software,2025,103,False
France,Speech Recognition,2017,5,True
Thailand,Speech Recognition,2024,0,True
Canada,Speech Recognition,2018,0,True
Romania,Sports,2023,0,True
Spain,Sports,2024,1,True
Cyprus,Sports,2018,1,True
United States,Sports,2016,34,True
Germany,Telecommunications,2023,1,True
Netherlands,Telecommunications,2018,2,True
Canada,Telecommunications,2025,1,False
Argentina,Telecommunications,2023,344,True
South Korea,Telecommunications,2018,17,True
India,Telecommunications,2020,6,True
Taiwan,Telecommunications,2023,7,True
Japan,Transportation,2015,3,True
Japan,Transportation,2019,111,True
Malaysia,Transportation,2016,2,True
United Kingdom,Transportation,2018,70,True
Portugal,Transportation,2018,3,True
South Korea,Transportation,2023,762,True
Estonia,Transportation,2025,4,False
Czechia,Transportation,2017,0,True
Portugal,Agriculture,2020,0,True
Brazil,Agriculture,2015,0,True
Saudi Arabia,Agriculture,2019,1,True
Chile,Agriculture,2024,0,True
Malaysia,All,2018,28,True
Sri Lanka,All,2018,2,True
Colombia,All,2021,36,True
Georgia,All,2024,0,True
Paraguay,All,2024,0,True
Seychelles,All,2015,0,True
Sweden,All,2023,3713,True
Bangladesh,All,2019,0,True
Romania,All,2024,19,True
Cyprus,All,2015,7,True
Armenia,All,2024,14,True
Dominican Republic,All,2020,0,True
North Macedonia,All,2024,0,True
Finland,All,2022,2911,True
Italy,All,2016,18,True
Italy,All,2022,78,True
Poland,All,2023,134,True
China (mainland),All,2016,4996,True
Kuwait,All,2023,7,True
Israel,All,2025,5044,False
Mauritius,All,2019,52,True
Spain,Biotechnology,2019,1,True
Germany,Biotechnology,2015,92,True
United States,Biotechnology,2017,531,True
Vietnam,Community and Lifestyle,2021,0,True
Hungary,Community and Lifestyle,2022,0,True
Italy,Community and Lifestyle,2023,0,True
China (mainland),Community and Lifestyle,2015,28,True
Singapore,Community and Lifestyle,2020,3,True
New Zealand,Computer Vision,2017,0,True
United Kingdom,Computer Vision,2017,12,True
United Kingdom,Computer Vision,2021,166,True
Malaysia,Computer Vision,2025,4,False
Japan,Computer Vision,2022,2,True
Netherlands,Consumer goods,2019,8,True
Lithuania,Consumer goods,2021,0,True
Austria,Consumer goods,2023,0,True
Austria,Consumer goods,2024,6,True
South Africa,Consumer goods,2020,14,True
Canada,Consumer goods,2015,6,True
Switzerland,Consumer goods,2024,163,True
India,Consumer goods,2018,326,True
Portugal,Cyber Security,2021,0,True
Israel,Cyber Security,2017,7,True
Czechia,Cyber Security,2020,0,True
Netherlands,Cyber Security,2020,3,True
Lithuania,Cyber Security,2024,0,True
Spain,Cyber Security,2025,17,False
Armenia,Data and analytics,2021,1,True
Botswana,Data and analytics,2021,0,True
Norway,Data and analytics,2019,50,True
Tanzania,Data and analytics,2017,0,True
Chile,Data and analytics,2020,17,True
Kenya,Data and analytics,2023,9,True
Thailand,Data and analytics,2024,43,True
India,Data and analytics,2022,2245,True
Jordan,Data and analytics,2022,1,True
Jordan,Data and analytics,2025,0,False
Sweden,Education,2018,3,True
Denmark,Education,2016,3,True
Iceland,Education,2021,0,True
Vietnam,Education,2022,0,True
Sweden,Energy and natural resources,2025,44,False
Turkey,Energy and natural resources,2021,1,True
Philippines,Energy and natural resources,2024,0,True
Iceland,Energy and natural resources,2023,0,True
Kenya,Energy and natural resources,2017,0,True
Israel,Energy and natural resources,2024,25,True
Finland,Energy and natural resources,2015,19,True
Germany,Energy and natural resources,2021,162,True
Italy,Energy and natural resources,2021,3,True
United States,Facial Recognition,2022,15,True
Tunisia,Finance,2021,0,True
Chile,Finance,2022,0,True
Chile,Finance,2025,1,False
United Arab Emirates,Finance,2018,1,True
Luxembourg,Finance,2018,1,True
China (mainland),Finance,2025,155,False
Ireland,Finance,2017,42,True
Seychelles,Finance,2021,1,True
South Africa,Finance,2020,73,True
Czechia,Finance,2025,56,False
Uruguay,Finance,2023,0,True
Estonia,Finance,2024,10,True
Germany,Gaming,2025,6,False
China (mainland),Gaming,2023,1,True
Czechia,Gaming,2022,2,True
Serbia,General purpose,2022,0,True
Finland,General purpose,2023,1075,True
Belgium,General purpose,2020,116,True
Saudi Arabia,General purpose,2016,59,True
United Arab Emirates,General purpose,2016,0,True
Panama,General purpose,2025,15,False
Hungary,General purpose,2017,2,True
Kenya,General purpose,2024,0,True
Vietnam,General purpose,2020,3,True
Canada,General purpose,2022,13254,True
United States,General purpose,2018,32439,True
Norway,General purpose,2018,41,True
Norway,General purpose,2023,72,True
Turkey,General purpose,2020,5,True
Kenya,Hardware,2024,0,True
Taiwan,Hardware,2017,2,True
United States,Hardware,2025,33824,False
France,Hardware,2025,349,False
United Kingdom,Hardware,2022,439,True
Turkey,Hardware,2018,1,True
Turkey,Hardware,2023,10,True
Bosnia and Herzegovina,Hardware,2023,0,True
Canada,Hardware,2019,206,True
Bangladesh,Hardware,2019,0,True
New Zealand,Hardware,2017,0,True
Vietnam,Hardware,2023,2,True
Latvia,Hardware,2016,0,True
Portugal,Hardware,2022,11,True
Denmark,Healthcare and Life Sciences,2018,5,True
Sri Lanka,Healthcare and Life Sciences,2024,1,True
Belgium,Healthcare and Life Sciences,2021,2,True
India,Healthcare and Life Sciences,2024,103,True
Sweden,Healthcare and Life Sciences,2025,81,False
Morocco,Healthcare and Life Sciences,2022,0,True
Mexico,Healthcare and Life Sciences,2025,3,False
Switzerland,Healthcare and Life Sciences,2022,158,True
Estonia,Healthcare and Life Sciences,2024,1,True
Singapore,Healthcare and Life Sciences,2018,38,True
United Kingdom,Healthcare and Life Sciences,2023,214,True
Spain,Healthcare and Life Sciences,2023,46,True
Spain,Healthcare and Life Sciences,2025,29,False
Chile,Healthcare and Life Sciences,2017,3,True
Czechia,Healthcare and Life Sciences,2020,1,True
Colombia,Information Technology,2020,5,True
Mexico,Information Technology,2023,125,True
Philippines,Information Technology,2018,3,True
United Arab Emirates,Information Technology,2023,93,True
Singapore,Information Technology,2020,488,True
Georgia,Information Technology,2023,0,True
Switzerland,Information Technology,2019,493,True
Malta,Information Technology,2018,0,True
Argentina,Information Technology,2017,4,True
Luxembourg,Information Technology,2015,0,True
Luxembourg,Information Technology,2023,1,True
Sweden,Lending and Investments,2021,0,True
China (mainland),Lending and Investments,2016,62,True
Singapore,Lending and Investments,2022,28,True
Egypt,Lending and Investments,2022,0,True
United Kingdom,Lending and Investments,2017,78,True
Canada,Lending and Investments,2015,1,True
Germany,Lending and Investments,2021,17,True
Brazil,Manufacturing,2023,13,True
Lithuania,Manufacturing,2017,0,True
China (mainland),Manufacturing,2023,2164,True
United Kingdom,Manufacturing,2016,207,True
Sweden,Manufacturing,2024,14,True
Switzerland,Manufacturing,2020,41,True
United Arab Emirates,Manufacturing,2019,3,True
Sweden,Media and Entertainment,2018,5,True
Ukraine,Media and Entertainment,2018,0,True
Luxembourg,Media and Entertainment,2015,0,True
Poland,Media and Entertainment,2020,0,True
Chile,Media and Entertainment,2020,1,True
United Arab Emirates,Media and Entertainment,2025,5,False
Kazakhstan,Media and Entertainment,2025,1,False
Romania,Media and Entertainment,2018,0,True
Poland,"Military, public safety and government",2020,2,True
India,"Military, public safety and government",2016,0,True
Germany,"Military, public safety and government",2020,9,True
